ts_code,symbol,name,industry
000581.SZ,000581,威孚高科,汽车配件
000582.SZ,000582,北部湾港,港口
000584.SZ,000584,ST工智,专用机械
000586.SZ,000586,汇源通信,通信设备
000589.SZ,000589,贵州轮胎,汽车配件
000590.SZ,000590,启迪药业,中成药
000591.SZ,000591,太阳能,新型电力
000592.SZ,000592,平潭发展,林业
000593.SZ,000593,德龙汇能,供气供热
000595.SZ,000595,宝塔实业,机械基件
000596.SZ,000596,古井贡酒,白酒
000597.SZ,000597,东北制药,化学制药
000598.SZ,000598,兴蓉环境,水务
000599.SZ,000599,青岛双星,汽车配件
000600.SZ,000600,建投能源,火力发电
000601.SZ,000601,韶能股份,水力发电
000603.SZ,000603,盛达资源,铅锌
000605.SZ,000605,渤海股份,供气供热
000607.SZ,000607,华媒控股,广告包装
000608.SZ,000608,阳光股份,区域地产
000609.SZ,000609,中迪投资,区域地产
000610.SZ,000610,西安旅游,旅游服务
000612.SZ,000612,焦作万方,铝
000615.SZ,000615,*ST美谷,医疗保健
000617.SZ,000617,中油资本,多元金融
000619.SZ,000619,海螺新材,其他建材
000620.SZ,000620,*ST新联,全国地产
000622.SZ,000622,恒立实业,批发业
000623.SZ,000623,吉林敖东,中成药
000625.SZ,000625,长安汽车,汽车整车
000626.SZ,000626,远大控股,商贸代理
000627.SZ,000627,天茂集团,保险
000628.SZ,000628,高新发展,建筑工程
000629.SZ,000629,钒钛股份,小金属
000630.SZ,000630,铜陵有色,铜
000631.SZ,000631,顺发恒业,综合类
000632.SZ,000632,三木集团,综合类
000633.SZ,000633,合金投资,小金属
000635.SZ,000635,英力特,化工原料
000636.SZ,000636,风华高科,元器件
000637.SZ,000637,ST实华,石油加工
000638.SZ,000638,万方发展,农业综合
000639.SZ,000639,西王食品,食品
000650.SZ,000650,仁和药业,中成药
000651.SZ,000651,格力电器,家用电器
000652.SZ,000652,泰达股份,批发业
000655.SZ,000655,金岭矿业,普钢
000656.SZ,000656,金科股份,全国地产
000657.SZ,000657,中钨高新,小金属
000659.SZ,000659,珠海中富,广告包装
000661.SZ,000661,长春高新,生物制药
000663.SZ,000663,永安林业,林业
000665.SZ,000665,湖北广电,影视音像
000668.SZ,000668,荣丰控股,医药商业
000669.SZ,000669,ST金鸿,供气供热
000670.SZ,000670,盈方微,元器件
000672.SZ,000672,上峰水泥,水泥
000676.SZ,000676,智度股份,互联网
000677.SZ,000677,恒天海龙,化纤
000678.SZ,000678,襄阳轴承,汽车配件
000679.SZ,000679,大连友谊,百货
000680.SZ,000680,山推股份,工程机械
000681.SZ,000681,视觉中国,互联网
000682.SZ,000682,东方电子,电气设备
000683.SZ,000683,远兴能源,化工原料
